playerShort,weight,yellowCards,player,skin_colour,club,birthday,defeats,yellowReds,ties,goals,position,games,leagueCountry,redCards,victories,height,gravity,meanIAT_yellowCards,meanIAT_yellowReds,meanIAT_redCards,meanIAT_gravity,meanExp_yellowCards,meanExp_yellowReds,meanExp_redCards,meanExp_gravity
johan-audel,75.0,18,Johan Audel,0.75,VfB Stuttgart,12.12.1983,53,0,35,28,Left Winger,130,Germany,0,42,180.0,18.0,0.04294210632261479,0.0,0.0,0.04294210632261479,0.04304367253324914,0.0,0.0,0.04304367253324914
johan-djourou,83.0,26,Johan Djourou,0.75,Arsenal FC,18.01.1987,63,1,50,2,Center Back,240,England,0,127,191.0,59.09713905522289,0.03736259776177563,0.0008333920503232756,0.0,0.0649454903388424,0.03602708243511837,0.000909299903779398,0.0,0.06612230779340587
johannes-flum,80.0,38,Johannes Flum,0.25,SC Freiburg,14.12.1987,80,1,56,14,Defensive Midfielder,223,Germany,0,87,190.0,71.0971390552229,0.05312443645746959,0.0006098336279759439,0.0,0.07330818484314047,0.0597162686206038,0.0006086356746382265,0.0,0.07986036817807457
johannes-van-den-bergh,75.0,23,Johannes van den Bergh,0.0,Fortuna Düsseldorf,21.11.1986,84,1,53,6,Left Fullback,226,Germany,1,89,183.0,87.40299179279369,0.03179665231137421,0.0006587635276765576,0.002305672346867952,0.1257808793435318,0.031734191167847134,0.0006574694567520568,0.002301143098632199,0.1255337961763887
johannes-wurtz,76.0,12,Johannes Wurtz,0.0,Werder Bremen,19.06.1992,24,1,25,30,,94,Germany,0,45,182.0,45.09713905522289,0.03728804263119371,0.005178894809888015,0.0,0.20869464430642953,0.037214794235110274,0.005168721421543093,0.0,0.20828468586163126
john-arne-riise,77.0,36,John Arne Riise,0.0,Fulham FC,24.09.1980,205,0,152,62,Left Fullback,722,England,1,365,185.0,67.3058527375708,0.01633720985554783,0.0,0.00190655610604198,0.07602357454721446,0.025413436745787384,0.0,0.004215010877447426,0.15736794656241557
john-boye,69.0,15,John Boye,0.875,Stade Rennes,23.04.1987,37,0,18,4,Right Fullback,89,France,2,34,184.0,77.6117054751416,0.044506620564904134,0.0,0.003984332093385202,0.16923953433799843,0.033311984998543986,0.0,0.004001201942085369,0.15857302377075083
john-guidetti,79.0,8,John Guidetti,0.0,Manchester City,15.04.1992,14,1,8,29,Center Forward,53,England,0,31,185.0,41.09713905522289,0.05749311443369828,0.009287368409144157,0.0,0.3648784381282266,0.08826633159153335,0.011728389753996158,0.0,0.4764424781733954
john-mikel,86.0,64,John Mikel,0.75,Chelsea FC,22.04.1987,68,1,79,7,Center Midfielder,355,England,3,208,188.0,191.01469726793528,,,,,,,,
john-oshea,75.0,37,John O'Shea,0.125,Sunderland AFC,30.04.1981,129,0,127,20,Center Back,593,England,1,337,190.0,68.3058527375708,0.023226640797828463,0.0,0.0002858177460426282,0.032174409065223376,0.03711007451915387,0.0,0.00031185088563562903,0.046872832420943894
john-ruddy,97.0,5,John Ruddy,0.0,Norwich City,24.10.1986,58,0,55,0,Goalkeeper,175,England,1,62,193.0,36.3058527375708,0.008304396147182655,0.0,0.0009469266194977509,0.037948741450464986,0.009060785514632711,0.0,0.0010331755428449971,0.04140522691099797
john-terry,75.0,97,John Terry,0.0,Chelsea FC,07.12.1980,120,2,140,64,Center Back,696,England,3,436,184.0,257.1118363231582,0.03887132435613187,0.00020391173494342817,0.0016490474408180885,0.09724505574206532,0.04960767168072249,0.00022248462880300514,0.0009593535525938595,0.0870046574186339
john-utaka,82.0,33,John Utaka,0.75,Montpellier HSC,08.01.1982,143,0,102,88,Right Winger,431,France,2,186,179.0,95.6117054751416,,,,,,,,
johnny-heitinga,72.0,87,Johnny Heitinga,0.25,Everton FC,15.11.1983,104,4,99,37,Center Back,472,England,1,269,180.0,250.69440895846236,0.050867242169018924,0.0013479525926480718,0.0008402857132082808,0.12178647736292351,0.07275694995481369,0.001968505439375938,0.001061140025361557,0.17112874158071278
joleon-lescott,83.0,30,Joleon Lescott,0.5,Manchester City,16.08.1982,110,0,121,33,Center Back,473,England,0,242,188.0,30.0,,,,,,,,
jon-flanagan,76.03452685421995,12,Jon Flanagan,0.0,Liverpool FC,01.01.1993,9,0,7,1,Right Fullback,45,England,0,29,180.0,12.0,0.0929687190801941,0.0,0.0,0.0929687190801941,0.11306839310507819,0.0,0.0,0.11306839310507819
jon-walters,79.0,35,Jon Walters,0.25,Stoke City,20.09.1983,130,0,105,75,,362,England,1,127,183.0,66.3058527375708,0.023479347074877855,0.0,0.0002222378800862068,0.03043669342156657,0.030149353192835047,0.0,0.0002424799743411728,0.03774039556136976
jonas,73.0,36, Jonas,0.25,Valencia CF,01.04.1984,95,2,66,106,Center Forward,290,Spain,5,129,181.0,258.7235417982998,,,,,,,,
jonas-gutierrez,70.0,59,Jonás Gutiérrez,0.25,Newcastle United,05.07.1983,116,1,105,17,,375,England,2,154,182.0,154.7088445303645,0.05046808719253772,0.0003240969084590516,0.003980160321785566,0.18579708054491614,0.0767349054348123,0.0003536166292475436,0.006382990121272684,0.2882635529471892
jonas-hofmann,67.0,17,Jonas Hofmann,0.0,Borussia Dortmund,14.07.1992,53,0,33,35,Right Midfielder,163,Germany,0,77,176.0,17.0,0.03152549459669926,0.0,0.0,0.03152549459669926,0.031463566113678995,0.0,0.0,0.031463566113678995
jonas-martin,70.0,8,Jonas Martin,0.125,Montpellier HSC,09.04.1990,30,0,20,4,,67,France,0,17,182.0,8.0,0.03730330922431895,0.0,0.0,0.03730330922431895,0.037461253182774275,0.0,0.0,0.037461253182774275
jonas-olsson,84.0,54,Jonas Olsson,0.25,West Bromwich Albion,10.03.1983,116,3,83,22,,330,England,2,131,193.0,215.90312264081027,0.05111700871954821,0.0010940817084825348,0.00169022988289022,0.14024207096937324,0.07010671082521304,0.001263404990231396,0.0021344770625088792,0.17874342606058966
jonathan-brison,72.0,40,Jonathan Brison,0.25,AS Saint-Étienne,07.02.1983,85,2,65,10,Left Fullback,235,France,1,85,179.0,137.50013084801657,0.054882553996704365,0.004736092865722033,0.0006314790487629378,0.23140266825938938,0.0571139815194633,0.004756145704742986,0.0006341527606323981,0.23438149021372479
jonathan-dos-santos,74.0,13,Jonathan dos Santos,0.5,FC Barcelona,26.04.1990,21,1,19,5,Center Midfielder,92,Spain,1,52,172.0,77.40299179279369,0.042776810212121937,0.0018872122152406737,0.0018872122152406737,0.16431892302152704,0.06803438296773637,0.003001516895635428,0.003001516895635428,0.2613410509632765
jonathan-ligali,82.0,1,Jonathan Ligali,0.5,Montpellier HSC,28.05.1991,4,0,1,0,Goalkeeper,9,France,0,4,183.0,1.0,0.04525187703621425,0.0,0.0,0.04525187703621425,0.07352941176470587,0.0,0.0,0.07352941176470587
jonathan-mensah,83.0,17,Jonathan Mensah,1.0,Évian Thonon Gaillard,13.07.1990,27,1,16,2,,70,France,1,27,188.0,81.40299179279369,0.10024461214412778,0.0065624293302815094,0.0036264077861487454,0.43097003634808084,0.12931395963279746,0.006590214963434726,0.005767620701417097,0.5279915050061357
jonathan-obika,76.0,10,Jonathan Obika,0.75,Tottenham Hotspur,12.09.1990,47,0,29,23,Center Forward,125,England,0,49,183.0,10.0,0.0195478253377466,0.0,0.0,0.0195478253377466,0.021328300038156764,0.0,0.0,0.021328300038156764
jonathan-pitroipa,56.0,21,Jonathan Pitroipa,0.875,Stade Rennes,12.04.1986,107,1,74,45,Left Midfielder,316,France,0,135,176.0,54.09713905522289,,,,,,,,
jonathan-schmid,77.0,5,Jonathan Schmid,0.0,SC Freiburg,26.06.1990,64,0,47,44,Right Midfielder,191,Germany,0,80,179.0,5.0,0.00489285120120234,0.0,0.0,0.00489285120120234,0.004883239715120655,0.0,0.0,0.004883239715120655
jonathan-tinhan,69.0,5,Jonathan Tinhan,0.75,Montpellier HSC,01.06.1989,24,0,17,4,Defensive Midfielder,51,France,0,10,178.0,5.0,0.043916609034024515,0.0,0.0,0.043916609034024515,0.04702487014554504,0.0,0.0,0.04702487014554504
jonathan-viera,65.0,22, Jonathan Viera,0.375,Valencia CF,21.10.1989,41,1,28,22,Right Winger,114,Spain,3,45,171.0,149.01469726793528,0.08507552666304954,0.0016439715297207648,0.006849881373836519,0.35392765854420033,0.13530838165524509,0.0026146547179757506,0.010894394658232293,0.5629042872730813
jonathan-vila,78.0,27, Jonathan Vila,0.25,Celta Vigo,06.03.1986,48,0,33,0,Center Back,130,Spain,1,49,186.0,58.3058527375708,0.07414685228933766,0.0,0.0012329786472905736,0.11274630024998557,0.11792687017779263,0.0,0.001960991038481813,0.17931736684820035
jonathan-zebina,84.0,86,Jonathan Zebina,0.5,Toulouse FC,19.07.1978,104,5,122,2,Right Fullback,375,France,5,149,190.0,408.0149589639684,0.07529550994220019,0.0057557669635278546,0.006803495358651488,0.4787841533022296,0.10019729704422217,0.008902008440641263,0.00775615999443067,0.6376415108695784
jonjo-shelvey,73.0,23,Jonjo Shelvey,0.0,Liverpool FC,27.02.1992,62,0,40,28,,176,England,1,74,185.0,54.3058527375708,0.04746001374866004,0.0,0.0013280068444175774,0.0890344004544828,0.061117000661700276,0.0,0.0014489657003313985,0.10647810749806617
jonny-evans,77.0,27,Jonny Evans,0.0,Manchester United,02.01.1988,61,0,44,9,Center Back,255,England,3,150,188.0,120.9175582127124,0.04062389019893579,0.0,0.005052777709430664,0.19880540508605254,0.0685662794703522,0.0,0.006731732165871883,0.27930889532390585
jordan-ayew,81.0,24,Jordan Ayew,0.875,Olympique Marseille,11.09.1991,53,2,42,24,Right Winger,162,France,1,67,182.0,121.50013084801658,0.060212276433105304,0.006785704561522541,0.005578064930739283,0.45942576317580913,0.060976117338224736,0.01156035314818407,0.005601682718919517,0.6189561872922461
jordan-ferri,70.0,8,Jordan Ferri,0.5,Olympique Lyon,12.03.1992,12,0,17,5,,54,France,0,25,172.0,8.0,0.050103114201134,0.0,0.0,0.050103114201134,0.07659426661848293,0.0,0.0,0.07659426661848293
jordan-henderson,67.0,26,Jordan Henderson,0.125,Liverpool FC,17.06.1990,83,0,52,22,Right Midfielder,252,England,1,117,182.0,57.3058527375708,0.03191540516487053,0.0,0.0005918291371860943,0.05044312097942198,0.046935349523635476,0.0,0.0006457347142781232,0.06715062539636377
jordi-alba,69.0,58, Jordi Alba,0.125,FC Barcelona,21.03.1989,60,1,56,21,Left Fullback,250,Spain,1,134,170.0,122.4029917927937,,,,,,,,
jordi-amat,80.0,39, Jordi Amat,0.375,Rayo Vallecano,21.03.1992,49,1,17,1,Center Back,117,Spain,1,51,184.0,103.4029917927937,0.10914881607898713,0.002021276470968153,0.0015159573532261149,0.22350562216420466,0.15980916771840276,0.0032147394073472344,0.002411054555510426,0.3416879637667377
jordi-codina,87.0,2, Jordi Codina,0.375,Getafe CF,27.04.1982,30,0,21,0,Goalkeeper,76,Spain,0,25,189.0,2.0,0.00804116509102548,0.0,0.0,0.00804116509102548,0.01278907199009878,0.0,0.0,0.01278907199009878
jorge-molina_2,87.0,16, Jorge Molina,0.25,Real Betis,22.04.1982,77,0,38,81,Center Forward,186,Spain,2,71,188.0,78.6117054751416,0.04319845622203374,0.0,0.005032565907308463,0.20074722340835188,0.0660272024115907,0.0,0.008004045055027808,0.3166006582091731
joris-marveaux,69.0,18,Joris Marveaux,0.5,Montpellier HSC,15.08.1982,51,1,43,10,Defensive Midfielder,168,France,2,74,178.0,113.70884453036449,0.035441870091007806,0.0026562213955901347,0.003380645412569263,0.22918918642615024,0.035591932628987244,0.002667467961390246,0.003394959223587586,0.23015958417616283
jos-hooiveld,74.0,20,Jos Hooiveld,0.25,Southampton FC,22.04.1983,36,0,32,9,Center Back,139,England,0,71,191.0,20.0,0.04108521154846211,0.0,0.0,0.04108521154846211,0.0519336857388027,0.0,0.0,0.0519336857388027
jose-angel_3,77.0,28, José Ángel,0.0,Real Sociedad,05.09.1989,54,2,34,2,Left Fullback,133,Spain,1,45,182.0,125.50013084801658,0.06328028159583468,0.00228329379127884,0.007151374482988055,0.36273065014536315,0.09109491107798827,0.0036314648860774315,0.009811394507964425,0.5184400810031973
jose-callejon,73.0,24, José Callejón,0.0,Real Madrid,11.02.1987,59,1,51,49,Center Forward,231,Spain,0,121,179.0,57.09713905522289,0.03202697965527793,0.0008662613447006371,0.0,0.060697751838999295,0.04858586433229993,0.0013777454602916718,0.0,0.09418529741427546
jose-campana,72.0,7, José Campaña,0.25,Sevilla FC,31.05.1993,23,0,8,2,Center Midfielder,58,Spain,0,27,179.0,7.0,0.043353952512911687,0.0,0.0,0.043353952512911687,0.05238017158979865,0.0,0.0,0.05238017158979865
jose-carlos_4,68.0,15, José Carlos,0.25,Rayo Vallecano,17.07.1987,59,0,26,14,Attacking Midfielder,130,Spain,0,45,177.0,15.0,0.051480986946116115,0.0,0.0,0.051480986946116115,0.07396585847044422,0.0,0.0,0.07396585847044422
jose-enrique,82.0,17, José Enrique,0.0,Liverpool FC,23.01.1986,73,1,67,4,Left Fullback,253,England,0,113,184.0,50.09713905522289,0.028793675675007638,0.003964209077865203,0.0,0.15999765476908917,0.03944727703608482,0.0062305295950155805,0.0,0.24565998142999707
jose-mari_5,65.0,15, José Mari,0.25,Real Zaragoza,06.12.1987,20,2,11,3,,47,Spain,0,16,181.0,81.19427811044578,0.09901192167636426,0.02112552569246479,0.0,0.7982063831345552,0.15747352278717588,0.03175056312061669,0.0,1.2083263254718581
jose-nunes,82.0,52, José Nunes,0.125,RCD Mallorca,07.03.1977,96,1,63,14,Center Back,252,Spain,4,93,185.0,210.3205500055061,0.08499413574063516,0.000634465856238717,0.0033916095858936334,0.2121703706496786,0.14752159820246732,0.0010090862976750324,0.0053941858754663575,0.3497890563717721
jose-saez,63.0,23,José Saez,0.125,Valenciennes FC,07.05.1982,64,3,50,9,Defensive Midfielder,182,France,1,68,170.0,153.59726990323946,0.042104676359581185,0.01140967826742126,0.0010866360254686914,0.4537504519444393,0.042282949531371974,0.011457987379608103,0.0010912368932960098,0.4556716526105795
joselu_2,80.0,9, Joselu,0.375,1899 Hoffenheim,27.03.1990,41,0,24,27,Center Forward,95,Germany,1,30,191.0,40.3058527375708,0.032636110187608515,0.0,0.003302621376671179,0.13602748865362976,0.04626764589356632,0.0,0.005252654567361999,0.21070647626072966
joseph-akpala,81.0,17,Joseph Akpala,1.0,Werder Bremen,24.08.1986,79,1,60,86,Center Forward,263,Germany,0,124,184.0,50.09713905522289,0.02387892326844386,0.0002370717334001235,0.0,0.031725319394850474,0.037447689508866254,0.000371755187701262,0.0,0.049751722650715396
joshua-king,74.0,4,Joshua King,0.625,Blackburn Rovers,15.01.1992,38,0,28,11,Center Forward,106,England,0,40,180.0,4.0,0.00831848731711566,0.0,0.0,0.00831848731711566,0.009076160150686954,0.0,0.0,0.009076160150686954
josue,66.0,74, Josué,0.25,VfL Wolfsburg,19.07.1979,93,1,69,5,Defensive Midfielder,325,Germany,3,163,170.0,201.01469726793528,0.08245595935163634,0.00028771637832711197,0.0016994568526503473,0.14518149429652125,0.1303772055876847,0.0002871511900857274,0.0027048070847772816,0.22455738073540063
juan-albin,77.0,26,Juan Albín,0.375,Espanyol Barcelona,17.07.1986,77,2,59,36,Left Midfielder,202,Spain,0,66,179.0,92.19427811044578,0.0505259784715031,0.0013210485506684716,0.0,0.09424890605167816,0.09336208201827055,0.0021010618269447995,0.0,0.16290121746828323
juan-arango,76.0,46,Juan Arango,0.375,Bor. Mönchengladbach,17.05.1980,210,0,145,118,Attacking Midfielder,536,Germany,3,181,180.0,139.91755821271238,0.03189448249524384,0.0,0.0053693636182046214,0.19998698922122807,0.0610122562414904,0.0,0.008595087315790539,0.33008879401619184
juan-bernat,67.0,6, Juan Bernat,0.25,Valencia CF,01.03.1993,21,0,15,3,Left Fullback,84,Spain,0,48,172.0,6.0,0.029772190640151356,0.0,0.0,0.029772190640151356,0.045396878380353785,0.0,0.0,0.045396878380353785
juan-carlos_11,68.0,9, Juan Carlos,0.25,Real Betis,30.03.1990,40,0,17,3,Left Midfielder,82,Spain,2,25,176.0,71.6117054751416,0.025457706445173672,0.0,0.005504368961118632,0.1977766705552091,0.04048921229008207,0.0,0.008754424278936666,0.3145539295686877
juan-dominguez_2,71.0,16, Juan Domínguez,0.25,Deportivo La Coruña,08.01.1990,39,1,32,9,Center Midfielder,132,Spain,0,61,181.0,49.09713905522289,0.04436042741882389,0.00804116509102548,0.0,0.3104999866024982,0.07055304714537827,0.01278907199009878,0.0,0.4938347411889337
juan-rodriguez,80.0,69, Juan Rodríguez,0.25,Getafe CF,01.04.1982,120,2,74,20,Defensive Midfielder,284,Spain,1,90,185.0,166.5001308480166,0.09481241809989834,0.003410366471229246,0.0015740152944134981,0.2569616824410356,0.1464476278640906,0.005424017766013525,0.0025033928150831656,0.4043379449171261
juanan,87.0,5, Juanan,0.0,Fortuna Düsseldorf,27.04.1987,21,0,18,3,Center Back,66,Germany,0,27,192.0,5.0,0.026118357877319604,0.0,0.0,0.026118357877319604,0.028566269196429083,0.0,0.0,0.028566269196429083
juanfran,78.0,121, Juanfran,0.375,Levante UD,15.07.1976,153,7,127,10,Left Fullback,487,Spain,8,207,183.0,603.1267952871266,0.06250994803060698,0.0017240730820376924,0.004214556011561573,0.25151210442036565,0.09352492285501568,0.0026528425666607234,0.005561569179959848,0.3554360879130355
juanfran_2,72.0,61, Juanfran,0.0,Atlético Madrid,09.01.1985,113,1,89,19,Right Fullback,366,Spain,1,164,180.0,125.4029917927937,0.06250994803060698,0.0017240730820376924,0.004214556011561573,0.25151210442036565,0.09352492285501568,0.0026528425666607234,0.005561569179959848,0.3554360879130355
juanfran_4,72.0,5, Juanfran,0.625,Real Madrid,11.09.1988,43,0,18,4,Right Winger,92,Spain,0,31,179.0,5.0,0.06250994803060698,0.0017240730820376924,0.004214556011561573,0.25151210442036565,0.09352492285501568,0.0026528425666607234,0.005561569179959848,0.3554360879130355
juanlu,70.0,48, Juanlu,0.125,Levante UD,18.05.1980,76,0,49,26,,201,Spain,1,76,172.0,79.3058527375708,0.0801222692135536,0.0,0.0015807418555007352,0.12960874095797403,0.13179867419464256,0.0,0.0025140910749766833,0.2105044391567037
juanma-ortiz,70.0,62, Juanma Ortiz,0.25,Granada CF,01.03.1982,105,4,55,19,Right Midfielder,245,Spain,1,85,179.0,225.69440895846236,0.10497302583570627,0.009708962295090025,0.00059564185859448,0.44495897730770856,0.17095582884429125,0.015441620254711862,0.0009473386659332429,0.7116865264207489
juanma_4,80.0,8, Juanma,0.125,Real Jaén,08.08.1984,17,0,12,2,,41,Spain,0,12,188.0,8.0,0.09807784694356834,0.0,0.0,0.09807784694356834,0.15598792351559873,0.0,0.0,0.15598792351559873
juanmi_4,63.0,9, Juanmi,0.375,Málaga CF,20.05.1993,34,1,22,16,Center Forward,90,Spain,0,34,170.0,42.09713905522289,0.03148428421087243,0.008406672595163001,0.0,0.3097210960847137,0.06308764247537689,0.01337039344419418,0.0,0.5056094135209122
julian-baumgartlinger,82.0,49,Julian Baumgartlinger,0.25,1. FSV Mainz 05,02.01.1988,80,4,67,5,Defensive Midfielder,252,Germany,1,105,183.0,212.69440895846236,0.08060729843453499,0.007058396196847124,0.0015807418555007352,0.3637064906128611,0.1045390215228747,0.007631843149294095,0.0025140910749766833,0.4358369604447727
julian-draxler,74.0,19,Julian Draxler,0.0,FC Schalke 04,20.09.1993,48,0,31,39,Attacking Midfielder,174,Germany,0,95,185.0,19.0,0.03784517015476726,0.0,0.0,0.03784517015476726,0.04788963423082452,0.0,0.0,0.04788963423082452
julian-korb,69.0,22,Julian Korb,0.125,Bor. Mönchengladbach,21.03.1992,46,0,30,5,Right Fullback,141,Germany,1,65,177.0,53.3058527375708,0.0539932268038056,0.0,0.0018098288314124784,0.11065146168021452,0.053887162849152244,0.0,0.0018062736150553818,0.11043409864583564
julian-riedel,73.0,8,Julian Riedel,0.25,Bayer Leverkusen,10.08.1991,43,0,28,6,Left Fullback,133,Germany,0,62,183.0,8.0,0.01960284481252793,0.0,0.0,0.01960284481252793,0.019564337107648055,0.0,0.0,0.019564337107648055
julian-schieber,83.0,14,Julian Schieber,0.0,Borussia Dortmund,13.02.1989,49,2,49,50,Center Forward,193,Germany,0,95,188.0,80.19427811044578,0.018429583911321757,0.004918268610039755,0.0,0.18121020400874532,0.0230032735432746,0.004908607194160242,0.0,0.18546412841586357
julian-schuster,78.0,41,Julian Schuster,0.125,SC Freiburg,15.04.1985,81,0,52,20,Defensive Midfielder,238,Germany,0,105,190.0,41.0,0.0561368151815725,0.0,0.0,0.0561368151815725,0.0636895227863829,0.0,0.0,0.0636895227863829
julien-feret,73.0,12,Julien Féret,0.25,Stade Rennes,05.07.1982,81,0,52,39,Right Midfielder,205,France,0,72,186.0,12.0,0.02329015398024427,0.0,0.0,0.02329015398024427,0.026303753748782275,0.0,0.0,0.026303753748782275
julien-quercia,65.0,9,Julien Quercia,0.25,FC Lorient,17.08.1986,50,0,43,14,Left Winger,129,France,0,36,168.0,9.0,0.02604757106050576,0.0,0.0,0.02604757106050576,0.026157857696383107,0.0,0.0,0.026157857696383107
julien-sable,73.0,40,Julien Sablé,0.25,SC Bastia,11.09.1980,125,1,104,10,Defensive Midfielder,338,France,1,109,181.0,104.4029917927937,0.04068503752601591,0.0002887695391236902,0.000498783749395465,0.06585733372377316,0.0503251982427942,0.00028999220287762815,0.0005008956231522668,0.07560407512166412
julio-baptista,72.0,33, Júlio Baptista,0.625,Málaga CF,01.10.1981,92,1,79,107,Attacking Midfielder,351,Spain,1,180,183.0,97.4029917927937,,,,,,,,
julio-cesar_4,79.0,17, Júlio César,0.125,Queens Park Rangers,03.09.1979,83,0,89,0,Goalkeeper,412,England,3,240,186.0,110.9175582127124,,,,,,,,
junior-diaz,76.0,37,Júnior Díaz,0.625,1. FSV Mainz 05,12.09.1983,66,2,49,10,Left Fullback,222,Germany,1,107,185.0,134.50013084801657,0.05292856734131307,0.0007707448810400147,0.00037369448777697673,0.09013684244838367,0.07850002146488637,0.0017318080711789,0.0008396645193594666,0.1621043278056824
junior-fernandes,78.0,19,Junior Fernandes,0.75,Bayer Leverkusen,04.10.1988,50,0,30,42,Center Forward,158,Germany,1,78,181.0,50.3058527375708,0.04350375151536924,0.0,0.0007934779801743631,0.06834425631321298,0.07801390357132736,0.0,0.0016137129742523125,0.12853256430397764
jussi-jaeaeskelaeinen,80.0,28,Jussi Jääskeläinen,0.0,West Ham United,17.04.1975,216,0,137,0,Goalkeeper,524,England,4,171,193.0,153.2234109502832,0.020973559815839822,0.0,0.0019013573929931964,0.08049717436237636,0.034853052945344326,0.0,0.002074538740594313,0.09979825725677548
jussie,76.0,31, Jussiê,0.5,Girondins Bordeaux,19.09.1983,75,0,99,57,Left Winger,303,France,1,129,180.0,62.3058527375708,0.0297688972953615,0.0,0.0004427035659316891,0.04362810993681643,0.03362248099636111,0.0,0.000444577993565041,0.047540374193272984
kaka,78.0,44, Kaká,0.0,Real Madrid,22.04.1982,77,2,102,161,Attacking Midfielder,497,Spain,0,318,186.0,110.19427811044578,,,,,,,,
kalilou-traore,76.0,27,Kalilou Traoré,0.75,FC Sochaux,09.09.1987,47,2,23,13,Defensive Midfielder,109,France,1,39,192.0,124.50013084801658,0.08721562015106983,0.008641837935801167,0.0015042075637433125,0.4203262324822696,0.12196084800117427,0.023625920961567057,0.002560349812084417,0.9840651735476464
kamel-chafni,70.0,40,Kamel Chafni,0.25,Stade Brest,11.06.1982,96,1,54,11,Left Midfielder,217,France,0,67,181.0,73.0971390552229,0.055920879668556134,0.0009021129268041967,0.0,0.08577823665050874,0.05318003042397989,0.0009059325151891402,0.0,0.0831638048538427
karim-ait-fana,65.0,12,Karim Aït Fana,0.25,Montpellier HSC,25.02.1989,34,1,28,16,Left Winger,111,France,0,49,175.0,45.09713905522289,0.026027649400038832,0.0027890324653696416,0.0,0.11833664473590899,0.02613785168667267,0.002800841359459758,0.0,0.11883768763233182
karim-bellarabi,76.0,15,Karim Bellarabi,0.5,Bayer Leverkusen,08.04.1990,46,0,30,24,Right Winger,124,Germany,0,48,183.0,15.0,0.04032615619502336,0.0,0.0,0.04032615619502336,0.04392468076410067,0.0,0.0,0.04392468076410067
karim-benzema,79.0,10,Karim Benzema,0.125,Real Madrid,19.12.1987,70,0,81,185,Center Forward,431,Spain,0,280,187.0,10.0,0.0072963082114126795,0.0,0.0,0.0072963082114126795,0.011658176476977705,0.0,0.0,0.011658176476977705
karim-guede,85.0,21,Karim Guédé,0.75,SC Freiburg,07.01.1985,45,2,34,9,Defensive Midfielder,117,Germany,2,38,184.0,149.80598358558737,0.0654455875080732,0.00791751277636838,0.005610469377378683,0.503133136955909,0.10902257046590733,0.017709229750904748,0.005599448206671683,0.8704429110622108
karim-haggui,86.0,56,Karim Haggui,0.25,Hannover 96,20.01.1984,111,2,85,21,Center Back,329,Germany,3,133,190.0,216.11183632315817,,,,,,,,
karim-matmour,75.0,38,Karim Matmour,0.25,Eintracht Frankfurt,25.06.1985,96,2,65,28,Right Winger,278,Germany,0,117,181.0,104.19427811044578,0.04236369734507567,0.0007704517806963686,0.0,0.06786344706612746,0.040525959888451445,0.0007689383100711115,0.0,0.06597561806176312
karim-rekik,79.0,15,Karim Rekik,0.25,Manchester City,02.12.1994,23,0,9,2,,65,England,0,33,185.0,15.0,0.07582607318757416,0.0,0.0,0.07582607318757416,0.10363615374253753,0.0,0.0,0.10363615374253753
kassim-abdallah,74.0,14,Kassim Abdallah,1.0,Olympique Marseille,09.04.1987,41,1,49,2,,138,France,3,48,185.0,141.01469726793528,0.03543711838352014,0.0013124858660563021,0.007109298441138301,0.30143929566611755,0.03558716080254752,0.0013180429926869452,0.007139399543720952,0.3027156037626778
keiren-westwood,87.0,8,Keiren Westwood,0.125,Sunderland AFC,23.10.1984,76,0,49,0,,185,England,0,60,186.0,8.0,0.015262254812984863,0.0,0.0,0.015262254812984863,0.017619022835782663,0.0,0.0,0.017619022835782663
ken-ilsoe,77.0,18,Ken Ilsø,0.25,Fortuna Düsseldorf,02.12.1986,66,0,44,34,Center Forward,172,Germany,0,62,183.0,18.0,0.04001853380885264,0.0,0.0,0.04001853380885264,0.05298204595613496,0.0,0.0,0.05298204595613496
kenwyne-jones,78.0,16,Kenwyne Jones,1.0,Stoke City,05.10.1984,158,0,82,91,Right Winger,367,England,2,127,188.0,78.6117054751416,0.02450909066771343,0.0,0.0009795093315621366,0.05517346555667409,0.027543265243331824,0.0,0.0010687259862809829,0.06100064358665938
kevin,70.0,2, Kevin,0.0,Real Zaragoza,13.02.1992,6,0,2,0,Attacking Midfielder,8,Spain,0,0,178.0,2.0,0.08888915829304135,0.002867392203001334,0.0,0.18379163676163837,0.1413737725417121,0.0045604442755391,0.0,0.2923114308828249
kevin-de-bruyne,76.0,13,Kevin De Bruyne,0.0,Werder Bremen,28.06.1991,62,2,40,33,Attacking Midfielder,188,Germany,0,86,181.0,79.19427811044578,0.022658950641487242,0.004364228874621512,0.0,0.16710244057365434,0.032542894690321934,0.004947124702861741,0.0,0.19627856890446516
kevin-gameiro,64.0,7,Kevin Gameiro,0.0,Paris Saint-Germain,09.05.1987,82,0,84,102,Right Winger,284,France,0,118,170.0,7.0,0.006874901042591111,0.0,0.0,0.006874901042591111,0.00913484889884667,0.0,0.0,0.00913484889884667
kevin-grosskreutz,72.0,33,Kevin Großkreutz,0.0,Borussia Dortmund,19.07.1988,72,0,66,54,Left Winger,315,Germany,1,177,186.0,64.3058527375708,0.04214678086605091,0.0,0.0012196672559518875,0.08032950436971778,0.04687561529853772,0.0,0.001217271349276453,0.08498333290065045
